id,agency_id,transaction,date_mel,url,image,description,priceCurrency,price,address.region,address.departement,address.ville,address.code,address.geoloc,address.localisation,seller.@type,seller.image,seller.name,seller.address.@type,seller.address.streetAddress,seller.address.postalcode,seller.address.addresslocality,features.Surface,features.Pièces,features.Chambres,features.Terrain,features.Construction,features.Parking,features.Salles de bain,features.Toilettes,features.Exposition,features.Chauffage,features.Cuisine,features.Taxe foncière,features.Nb étages,features.Boxes,features.Salles d'eau,features.Terrasses,features.Cave,features.État
32831585,2578,vente,22/01/2021,https://proprietes.lefigaro.fr/annonces/chateau-nievre-bourgogne-france/32831585/,https://lh3.googleusercontent.com/m6xuo99T7Sv15-9LtH6DztAQ90Y5xEp_4viMtajm3mgCXQ8D-EpInXHRF9yWsJnr3A_gAuLDppKK0fWyDzSKmBCo8cBAwZfGBfzgWA=rj-w963-h564-n-l70,"Château XIX° sur 6ha 66a 24ca de parc et boisAu Nord de Nevers, cette propriété en position dominante bénéficie d’une vue exceptionnelle sur la Loire.  Elle est entourée d’un parc de 6ha 66a 24ca avec prés et bois, verger, potager, piscine (à restaurer), tennis, maison de gardien (à réhabiliter) sur 3 garages, atelier, boxes,….  Le Château offre environ 800m² hab. : entrée traversante, 2 salons, bureau avec boiseries, salle à manger, cuisine équipée, 9 chambres dont 6 avec salle de bains ou salle d’eau, cheminées marbre.  Toiture neuve (en cours)Travaux  à prévoir au 1er étage. Calme absolu.Exclusivité",EUR,742 000,bourgogne,58,pougues_les_eaux,58320,-,-,Organization,https://lh3.googleusercontent.com/FGEIAISFI1JPLxgDvNfltsRQZgnLGAXjwFF0dfvmG6DiL_G0N9D1zrd0AWYRwf0zq7qT7q782b9ZYXAoAQPseFr7OH3J5VvMyEei1w=rj-w127-h127-l70,CHATEAUX et PATRIMOINE,PostalAddress,"13, rue du Puits des Fins",18300,Sancerre,800 m2,22,9,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,,,,,,
32583155,2578,vente,08/01/2021,https://proprietes.lefigaro.fr/annonces/chateau-vendee-pays+de+loire-france/32583155/,https://lh3.googleusercontent.com/6UotBBtI_t9cFPPVyc3dApygA6XYTUdLSuQWFO-BbYoDH5PooCcDQmzOEsV0I3vdaEqqMTw8ZTwII5LFKKMuEhQGn0I7H8I2QMOYOvI=rj-w963-h564-n-l70,"Château XIX° avec piscine sur 5,7haProche des Herbiers, au coeur du bocage vendéen, 1h20 de La Rochelle, authentique et charmant  château de 1875.En cours de rénovation depuis 2011:toiture, électricité, plomberie, chauffage, étanchéité des portes et fenêtres, isolation intérieure des murs extérieurs ont été réalisés,il reste la décoration et quelques finitions.Le château offre 750m² hab. : grande entrée, salle de réception, salle à manger, salon/bibliothèque, bureau,cuisine équipée et aménagée, 9 chambres, salle de télévision, caves voûtées...Deux dépendances en pierre à rénover.Les 5 Hectares accueillent prairies, bois, parc d’agrément avec piscine, ainsi qu’un court de tennis à restaurer.Cette propriété conviendrait parfaitement pour développer une activité.",EUR,991 100,pays_de_loire,85,les_herbiers,85500,-,-,Organization,https://lh3.googleusercontent.com/FGEIAISFI1JPLxgDvNfltsRQZgnLGAXjwFF0dfvmG6DiL_G0N9D1zrd0AWYRwf0zq7qT7q782b9ZYXAoAQPseFr7OH3J5VvMyEei1w=rj-w127-h127-l70,CHATEAUX et PATRIMOINE,PostalAddress,"13, rue du Puits des Fins",18300,Sancerre,750 m2,16,9,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,,,,,,
28624193,2578,vente,16/05/2020,https://proprietes.lefigaro.fr/annonces/chateau-vienne-poitou+charentes-france/28624193/,https://lh3.googleusercontent.com/Tp5ghe8UK0Gr62-eZx3R4j4w4xHafKQmK5A6qMsVOBu5E5UJa7ylTMN1HghpLlID3PhX9Wn6MmOVUZ-hJfR-w-HHI3nQt1Va7DSEfA=rj-w963-h564-n-l70,"Château XIX° avec piscine sur terrain clos 3615 m²A 10 minutes de Poitiers centre, gare TGV, aéroport international : belle Propriété située en plein cœur d’une agglomération. L’ensemble est composé d’un château du XIX°s, maison de gardien, 2 garages et une dépendance pouvant accueillir un appartement d’amis. Cette chaleureuse demeure de 561m² habitables offre 15 pièces dont 6 chambres. Ses 3615 m² de terrain clos hauts de murs sont agrémentés coté S/O d’un jardin à la française et côté S/E d’un SPA et d’une piscine chauffée. Calme et sérénité garantis pour cette chaleureuse demeure avec des prestations  de qualité : portail motorisé, vidéosurveillance, interphone, alarme, tour avec répartiteur de musique pour l’ensemble de l’habitation, aspiration centralisée, ascenseur desservant tous les étages… Pas de travaux à prévoir.   A découvrir !",EUR,1 680 000,poitou_charentes,86,poitiers,86000,-,-,Organization,https://lh3.googleusercontent.com/FGEIAISFI1JPLxgDvNfltsRQZgnLGAXjwFF0dfvmG6DiL_G0N9D1zrd0AWYRwf0zq7qT7q782b9ZYXAoAQPseFr7OH3J5VvMyEei1w=rj-w127-h127-l70,CHATEAUX et PATRIMOINE,PostalAddress,"13, rue du Puits des Fins",18300,Sancerre,561 m2,15,6,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,,,,,,
28370561,2578,vente,29/04/2020,https://proprietes.lefigaro.fr/annonces/chateau-vienne-poitou+charentes-france/28370561/,https://lh3.googleusercontent.com/vG7LHJUHhmhI_JTqA4k5QhJ3S9rhwF37LyKRe5wzczB9UyARNqGMvu0pao0KMy526ljintpfmyeMdw0Bn_Lay470ulJaMS9ef-drwBk=rj-w963-h564-n-l70,"Monument Historique XIV-XV° à rénover  sur 4HaA seulement 20m de Châtellerault et de l’Autoroute A10, à rénover seigneurie de 610m² hab. du XIV°s remanié au XVIII°s  en partie entouré de ses douves en eaux vives offrant 16 pièces, 7 chambres et une extension supplémentaires de surface habitable de 305m² au grenier. Ce Château est un véritable voyage dans le passé tant bon nombre d’éléments authentiques ont été scrupuleusement préservés au fil du temps : escalier Louis XIV en pierre à balustre, cheminée monumentale à pilastres plats et hotte droite, passerelle extérieure signée Gustave Eiffel… A restaurer également ses dépendances : petit logis, chapelle, orangerie et pigeonnier.  Ses 4 Hectares sont composés d’un parc d’agrément, de prairies, de bosquets et d’un plan d’eau, le tout faisant le bonheur des chevreuils, hérons cendrés, lièvres et autres animaux sauvages… Calme et sérénité garantis !  Bien avec beaucoup de potentiel qui bénéficie d’une fiscalité avantageuse de par son classement Monument Historique. Rare à la vente.",EUR,760 000,poitou_charentes,86,chatellerault,86100,-,-,Organization,https://lh3.googleusercontent.com/FGEIAISFI1JPLxgDvNfltsRQZgnLGAXjwFF0dfvmG6DiL_G0N9D1zrd0AWYRwf0zq7qT7q782b9ZYXAoAQPseFr7OH3J5VvMyEei1w=rj-w127-h127-l70,CHATEAUX et PATRIMOINE,PostalAddress,"13, rue du Puits des Fins",18300,Sancerre,610 m2,16,7,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,,,,,,
26966033,2578,vente,28/01/2020,https://proprietes.lefigaro.fr/annonces/chateau-vienne-poitou+charentes-france/26966033/,https://lh3.googleusercontent.com/eCJTWupfXMHIZgAGK4zHI-L22X3TwNQ0Vd8Q6OZ-Kuj2ShAM_NWNaP7l5UdAYJhHE2oU6aTblmejU0GegxglyttkPcEYb5qqpjnOAw=rj-w963-h564-n-l70,"Château XIX° avec maison d’amis sur 6 Ha clos…A 300 km de Paris et à moins de 30km de Poitiers, proche de Châtellerault et de l’autoroute A10, dans un cadre exceptionnel, château du XIX° siècle et son cottage récemment rénové. L’ensemble offrant 405m² habitables.  Château : 2 belles pièces de réception, 5 chambres parentales, bureau…  Cottage : grande pièce de vie, 2 chambres parentales…  L’ensemble a été au fil des années rénové avec goût, raffinement et authenticité.  Le tout sur un terrain clos de 4ha 08a 70ca avec piscine chauffée, parc arboré, étang…Possibilité  éventuellement de l’acquérir meublé",EUR,1 100 000,poitou_charentes,86,chatellerault,86100,-,-,Organization,https://lh3.googleusercontent.com/FGEIAISFI1JPLxgDvNfltsRQZgnLGAXjwFF0dfvmG6DiL_G0N9D1zrd0AWYRwf0zq7qT7q782b9ZYXAoAQPseFr7OH3J5VvMyEei1w=rj-w127-h127-l70,CHATEAUX et PATRIMOINE,PostalAddress,"13, rue du Puits des Fins",18300,Sancerre,450 m2,16,7,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,,,,,,
38426797,48469,vente,29/10/2021,https://proprietes.lefigaro.fr/annonces/chateau-jura-franche+comte-france/38426797/,https://lh3.googleusercontent.com/RtyAdSl4kBNAIXarL1Xj1190RQowhRfhsy0jYvMawWo0TGQMb9LKVwuSgn1JPtUV4vPRaxczF0C307h3VXy7gJAscvVGe661TwvFeg=rj-w963-h564-n-l70,"Plus qu&amp;#8217;un château, c&amp;#8217;est une véritable &amp;#339;uvre d&amp;#8217;art mise à la vente. Datant du XIIIe siècle, et restauré entièrement de 1875 à 1882, puis, plus récemment, de 2002 à 2007, c&#x27;est l&#x27;une des plus belles restaurations d&amp;#8217;Europe de ces dernières années. La propriété fait 130 hectares dont 80 hectares de parc classé dont 7 500 m² de bâtiments couverts. Le domaine comprend le château avec 24 chambres, de nombreuses cheminées, une décoration et des meubles d&amp;#8217;époques, ou respectant le style de la Renaissance.",EUR,Plus de 10000000,franche_comte,39,cornod,39240,-,-,Organization,https://lh3.googleusercontent.com/CV6FIMc5uPFkDP-kKH3TD4ubx0lT-H5VyoKfZQinKkmc8kvh3ZUAZmRaM_9bjx4kTsjd7AgxHJB1Q81-rAzBRjCPUnmNvt7VH7loUOU=rj-w127-h127-l70,Annecy Sotheby’s International Realty,PostalAddress,8 rue Sommeiller,74000,Annecy,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,NC*,,,,,,
34729619,42303,vente,26/04/2021,https://proprietes.lefigaro.fr/annonces/chateau-gironde-aquitaine-france/34729619/,https://lh3.googleusercontent.com/hCXmvljIeQjWwC_K36HNdE5zEymUprX5NBmwj2G1lGRbFw6bF22wZbDrxi44Co-rp8qQ-l4CcTbA-ykh0Q8WRi-BZxJ77FNb_1UV=rj-w963-h564-n-l70,"ENVIRONNEMENT PRIVILÉGIÉ POUR CE CHÂTEAU SITUÉ AUX PORTES DE L&#x27;ENTRE-DEUX-MERSIDEAL POUR LA CREATION DE GÎTE, ELEVAGE OU PROJET FAMILIAL !Idéalement situé, ce château bénéficie d&#x27;un cadre atypique qui vous émerveillera !Plus de 15 hectares vallonnés, de prairies et de bois sans aucun vis-à-vis, où le temps semble s&#x27;être arrêté. La bâtisse principale qui date du XIXème siècle offre une superficie de 550M2 et est répartie sur deux étages. Au rez-de-chaussée, l&#x27;aile sud est actuellement utilisée comme appartement indépendant, avec une surface de plus de 100m2 répartis entre une cuisine équipée, un salon et une grande chambre exposés plein sud donnant sur les prairies vallonnées du domaine, une salle de bain/salle d&#x27;eau et WC complètent cette aile. Vous accédez à l&#x27;aile nord en traversant un magnifique hall d&#x27;entrée puis le bureau/bibliothèque. Profitez d&#x27;un salon, une cuisine entièrement équipée donnant accès à la salle de réception pouvant accueillir plus de cinquante personnes, une salle d&#x27;eau et WC. Vous pouvez accéder à l&#x27;étage par deux escaliers intérieurs dont un remarquable en bois sculpté et le superbe escalier en pierre extérieur. Six chambres au volume généreux et baignées de lumière vous y attendent, offrant chacune une vue imprenable sur le parc. Quatre d&#x27;entre elles disposent d&#x27;une salle d&#x27;eau et WC. Ce château dispose également d&#x27;un appartement indépendant de type T2 de plus de 60m2, composé d&#x27;un salon, une cuisine, une chambre, une véranda, une salle de bain et WC. Profitez d&#x27;un vaste chai de plus de 100m2 au sol qui offre la possibilité de doubler cette surface en créant un étage, cet espace bénéficiant d&#x27;une magnifique hauteur sous plafond. Un authentique four à pain, un pigeonnier, deux box à chevaux, un poulailler, des écuries, un hangar, trois places de garage couvertes... Vous serez séduits à coup sûr par la beauté de ce lieu unique en son genre. Quelle que soit la nature de vos projets, ce lieu enchanteur se prêtera aussi bien à la création d&#x27;un projet professionnel, tourné notamment autour de la réception de public, d&#x27;une activité agricole ou d&#x27;élevage, qu&#x27;à un projet familial. Un véritable havre de paix à seulement 25 minutes de la gare Saint jean de Bordeaux. Tous les commerces et commodités se trouvent à proximité immédiate.BIEN RARE SUR LE SECTEUR, A VOIR RAPIDEMENT !Cette annonce vous est proposée par LALANNE Maxime, NoRSAC: 891 305 336, Enregistré au Greffe du tribunal de commerce de Bordeaux Thalia Patrimoine  -  Gestion de Patrimoine &amp; Immobilier  -  www.thalia-patrimoine.com",EUR,1 475 500,aquitaine,33,bordeaux,33000,-,-,Organization,https://lh3.googleusercontent.com/pSxiIJXtvZjnDrgXfm5ivJD6hnNsHJ1WK1WyYyHfzTy3-X3s8u1uZsOCOyARQB8PWOSFsvlJuCEAUjy-zdgT3VoNezrhx0umh7aNuQ=rj-w127-h127-l70,THALIA PATRIMOINE,PostalAddress,4 avenue de Dupouy,33360,Cénac,550 m2,12,8,15 ha,NC*,,2,7,Sud,NC*,Américaine,NC*,2,3,6,,,
35428047,42303,vente,31/05/2021,https://proprietes.lefigaro.fr/annonces/chateau-gironde-aquitaine-france/35428047/,https://lh3.googleusercontent.com/DRBxnRQ9OfWQCNzilXn6ylSwMSrnrtvovzVZyzdn4L9sEzfbWU0XxnUiFZ5woAZceLGNDRyAqh6IxbACyX5deYNyR4yVJoGTfHJCNw=rj-w963-h564-n-l70,"Venez découvrir ce château prestigieux, datant du XIIIème siècle, situé à 20 minutes de Bordeaux. Cette demeure de charme vous offre de beaux espaces, elle s&#x27;étend sur 1 150 m2 habitables avec un parc arboré de 8 000 m2 où se dressent des arbres centenaires.Somptueusement rénovée et restaurée, cette propriété alliant élégance et authenticité, se compose d&#x27;un vaste vestibule agrémenté d&#x27;une belle cheminée, un grand salon de réception, un salon bar, une cuisine avec un espace repas, et un spa luxueux pour les moments de détente. Huit chambres spacieuses, sont toutes dotées d&#x27;une salle d&#x27;eau privative.Viennent s&#x27;ajouter en extérieur, une piscine chauffée et un pool house. Attenante à cette belle demeure, vous trouverez également une dépendance de type 3 avec 2 chambres, un garage, et un atelier de 80 m2. cette propriété avec ses espaces recomposables permet la réalisation de nombreux projets : un domaine familial, des perspectives professionnelles ou un investissement immobilier.Cette annonce vous est proposée par BENSALEM Eric, NoRSAC: 843 519 653, Enregistré au Greffe du tribunal de commerce de Bordeaux Thalia Patrimoine  -  Gestion de Patrimoine &amp; Immobilier  -  www.thalia-patrimoine.com",EUR,2 194 500,aquitaine,33,bordeaux,33000,-,-,Organization,https://lh3.googleusercontent.com/pSxiIJXtvZjnDrgXfm5ivJD6hnNsHJ1WK1WyYyHfzTy3-X3s8u1uZsOCOyARQB8PWOSFsvlJuCEAUjy-zdgT3VoNezrhx0umh7aNuQ=rj-w127-h127-l70,THALIA PATRIMOINE,PostalAddress,4 avenue de Dupouy,33360,Cénac,1 150 m2,10,8,8 000 m2,1400,,8,8,Sud-Ouest,Fioul,Équipée,NC*,,1,5,1,,
38808201,57551,vente,14/11/2021,https://proprietes.lefigaro.fr/annonces/chateau-charente+maritime-poitou+charentes-france/38808201/,https://lh3.googleusercontent.com/JFooxinhbzfPhzkJ4El6K0G5UtXNM4aQyj3w_V_ztEsRD6IDV-n_Z5Daw97-u0TUb-ngmqXSDKRQ29urHaQpyAlkbL8ax1PaS3zD9EE=rj-w963-h564-n-l70,"Situé dans le triangle COGNAC, SAINTES, ST JEAN D&#x27;ANGELY, à 1h de LA ROCHELLE.À 5 minutes des commodités, en campagne sans vis-à-vis.Sur 30 hectares clos de murs, superbe château du XVIIIème  de 360m² et ses 2 logements indépendants de 180m² et 150m².Dépendances de ferme de 700m².Le Château :Superbe château de 360m² sur 2 niveauxEntrée avec escalier en pierresSalon 50m² avec moulures et cheminée marbreSalle à manger avec boiseries 30m²BureauCuisine avec poêle à boisAscenseurWC et dégagement lave mainÀ l&#x27;étage :5 chambres dont 1 avec douche et alcôveSalle de doucheEscalierGrenier de 180m² aménageableSous-sol/cave sous toute la surfaceChauffage par pomper à chaleur et fioulHuisseries bois simple vitrageCharpente et couverture récentePierres en très bon étatAnciennes douves et plan d&#x27;eau2 puitsRaccordement à la fibre possibleHabitation 1 :175 m² pièce principale salon/séjour avec poêle à boisCuisineBuanderie3 chambres à l&#x27;étageSalle de bain WCHabitation 2 :150 m² en locatif coté &#x27;ferme&#x27;Salon/séjourCuisine2 chambresFerme :Ancienne étable de 360m²Bâtiment adossé 304m²Conviendrait parfaitement pour création d&#x27;une écurie fermée type barns d&#x27;une vingtaine de boxes minimum.Hangar de stockage 90m²Autres dépendances, garage, atelier...Les 30ha sont en nature de prairies naturelles, autrefois en cultures et traversés par une rivière.Accès aux chemins de promenades.Structure équestre à créer.",EUR,1 378 000,poitou_charentes,17,matha,17160,-,-,Organization,https://thbr.figarocms.net/external/_j9FwlRtextpeWlG5SwWhqhsdeI=/fit-in/127x127/filters:quality(100):fill(white):strip_icc()/http%3A%2F%2Fthbr.figarocms.net%2Fimages%2Fz3oa_RZMu-G8r0sayBDwV9lY2gk%3D%2Fe9b576790af5410ea24821f711243b63.jpg,HORSE IMMO,PostalAddress,10 RUE DE PENTHIÈVRE,75008,Paris 8e,350 m2,9,5,30 ha,NC*,NC*,NC*,2,Sud-Nord,NC*,NC*,NC*,,,1,,Oui,
36111579,569032,vente,06/07/2021,https://proprietes.lefigaro.fr/annonces/chateau-nievre-bourgogne-france/36111579/,https://lh3.googleusercontent.com/gMZnm_bWbP0opDA8L3Z_3Dp19QWln162VGxc4hIyPHGojaS9PyLFTCqJlSB12EMvkWzz3hQI0FfXdtpOrv2q2eI1fEO9sajCRN1H2Y0=rj-w963-h564-n-l70,"Ouest Nièvre, dans une réserve naturelle proche de l’Allier, au milieu des terres d’élevage de la race Charolaise, beau château de 570m² du XIXème, sur deux niveaux plus combles à la Mansard.Avec ses 11 chambres, ses pièces de réception, il offre de grands volumes.Dans sa partie rénovée, soit environ 1/3 du château, le parti a été pris d’un aménagement résolument actuel.Les dépendances consistent en un pigeonnier et un garage pour 3 voitures.L’ensemble se trouve sur un parc de 3 hectares agrémenté d’une partie boisée d’environ 1 hectare.Le château offre une vue dégagée sur le bocage environnant.",EUR,495 000,bourgogne,58,langeron,58240,-,-,Organization,https://lh3.googleusercontent.com/Dz15amHAf2SJM9bTVgQHstytOf1DwSJ05Khc12r7vKr39DfLUrJ49VByPuehrMC00UBVSAJzZBVLZa5YBiwk_Tlx55aVj3ONyYOxGdo=rj-w127-h127-l70,GROUPE MERCURE BOURGOGNE FRANCHE-COMTÉ,PostalAddress,5T rue Vaillant,21000,Dijon,570 m2,13,NC*,3 ha,NC*,NC*,NC*,NC*,NC*,Bois,NC*,NC*,3,,,,,
